uuid,name,ipv4,ipv6,region,price,billing_cycle,currency,expired_at,auto_renewal,hidden,created_at,updated_at,monthly_cny,name_norm,active_ip,active_name,active_panel,provider,rep,recommend,prov_reg_cnt
63a89411-e75f-438d-80f4-91dfd7560d69,RFCHost JP2 China Optimization Network - JP2-CO-Mini ,82.40.32.180,,🇯🇵,9.89,30,$,2026-04-02,1,0,2026-03-04 12:19:29.0624762,2026-03-15 05:45:22.08716384+00:00,69.32924189139082,rfchostjp2chinaoptimizationnetworkjp2comini,False,False,False,RFCHost,C,REMOVE,4
7b213c0b-292e-4417-aa80-aee0cfcc760b,RFCHost-JP2 China Optimization Network - JP2-CO-Micro,82.40.32.87,,🇯🇵,6.84,30,$,2026-04-02,1,0,2026-03-02 20:11:44.1055787,2026-03-15 05:43:03.13979036+00:00,47.94863645471317,rfchostjp2chinaoptimizationnetworkjp2comicro,False,False,False,RFCHost,C,REMOVE,4
d633db39-5a83-4534-91c8-ac5ca6f0163a,RFCHost-JP2 | Tier 1 International Optimization Network - JP2-T1ION-Balance,198.176.52.9,,🇯🇵,49.9,365,$,2026-08-18,1,0,2025-12-10 15:16:55.0595719,2026-03-15 05:40:56.4848002+00:00,28.75074452163166,rfchostjp2tier1internationaloptimizationnetworkjp2t1ionbalance,False,False,False,RFCHost,C,REMOVE,4
3c4db0cd-383a-4097-8048-a4008e99956f,V.PS-Tokyo-Starter,149.62.44.247,2a12:a301:2010::107b,🇯🇵,29.9,365,€,2027-02-01 00:00:00.0000000,1,0,2025-12-10 15:51:03.1262343,2026-03-15 05:41:23.87879128+00:00,19.730737419254822,vpstokyostarter,False,False,False,V.PS,C,REMOVE,4
b88c3072-a319-4d5b-a0dd-a2a4baeba450,V.PS-Tokyo-Starter,195.245.242.68,2a12:a301:2015::1082,🇯🇵,29.9,365,€,2027-03-01 00:00:00.0000000,1,0,2025-12-10 15:52:06.8179204,2026-03-15 05:42:28.75294068+00:00,19.730737419254822,vpstokyostarter,False,False,False,V.PS,C,REMOVE,4
74dd4194-de86-4ce5-93c0-d733f8e140ea,RFCHost-JP 1 | China Optimization Network - JP1-CO-Balance,161.129.34.57,,🇯🇵,29.9,365,$,2026-05-17,1,0,2025-12-10 15:19:18.4755414,2026-03-15 05:40:41.87742908+00:00,17.227400023983698,rfchostjp1chinaoptimizationnetworkjp1cobalance,False,False,False,RFCHost,C,REMOVE,4
d0f72af2-df83-4ff3-9450-e7f79025ef61,V.PS-Tokyo-Mini Pro,193.32.149.152,2a12:a301:2013::105a,🇯🇵,99.0,1825,€,2226-02-02,1,0,2026-02-02 06:44:51.7364587,2026-03-15 05:43:03.08051556+00:00,13.065839495024935,vpstokyominipro,False,False,False,V.PS,C,REMOVE,4
6c879ebc-4faa-42a8-a564-66f57583e33a,V.PS-Tokyo-Mini Pro,195.245.242.166,2a12:a301:2015::109b,🇯🇵,44.98,1095,€,2029-02-19 00:00:00.0000000,1,0,2026-01-18 10:22:35.1923164,2026-03-15 05:41:17.9837188+00:00,9.893963981249522,vpstokyominipro,False,False,False,V.PS,C,REMOVE,4
b2edde1d-e870-47ab-a9ad-1f98f4d8662b,CloudCone,74.48.66.108,2607:f130:0:180::d68c:cabc,🇺🇸,11.99,365,$,2026-11-12,1,0,2025-12-07 19:23:02.5521805,2026-03-15 05:41:08.33668784+00:00,6.9082450263399515,cloudcone,False,False,False,CloudCone,A,REMOVE,4
f95f73d9-e4ff-424d-a15f-4c831c362270,CloudCone,74.48.86.23,2607:f130:0:15a::ba1e:ee8,🇺🇸,9.5,365,$,2026-12-13 00:00:00.0000000,1,0,2025-12-07 19:25:00.3392105,2026-03-15 05:44:42.30872588+00:00,5.4735886363827815,cloudcone,False,False,False,CloudCone,A,REMOVE,4
1d89bf24-4d85-4614-9c32-df39e36d1a5f,ACCK HKLite,156.226.171.224,2401:b60:2a:cb18:2d1d:7d3e:7fb3:5856,🇭🇰,4.99,30,¥,2026-04-07 00:00:00.0000000,1,0,2025-12-07 10:04:47.1215723,2026-03-14 05:45:58.18928112+00:00,5.062770833333333,acckhklite,False,False,False,ACCK,C,REMOVE,4
